"StediId","PrimaryPayerId","DisplayName","Names","Aliases","EligibilityInquiry","EligibilityInquiryEnrollmentRequired","EligibilityInquiryEnrollmentType","EligibilityInquiryEnrollmentTimeframe","ClaimStatusInquiry","ClaimStatusInquiryEnrollmentRequired","ClaimStatusInquiryEnrollmentType","ClaimStatusInquiryEnrollmentTimeframe","ProfessionalClaim","ProfessionalClaimEnrollmentRequired","ProfessionalClaimEnrollmentType","ProfessionalClaimEnrollmentTimeframe","InstitutionalClaim","InstitutionalClaimEnrollmentRequired","InstitutionalClaimEnrollmentType","InstitutionalClaimEnrollmentTimeframe","DentalClaim","DentalClaimEnrollmentRequired","DentalClaimEnrollmentType","DentalClaimEnrollmentTimeframe","ClaimPaymentAdvice","ClaimPaymentAdviceEnrollmentRequired","ClaimPaymentEnrollmentType","ClaimPaymentEnrollmentTimeframe","CoordinationOfBenefits","CoordinationOfBenefitsEnrollmentRequired","CoordinationOfBenefitsEnrollmentType","CoordinationOfBenefitsEnrollmentTimeframe","ClaimAttachmentsSupport","ClaimAttachmentsSupportEnrollmentRequired","ClaimAttachmentEnrollmentType","ClaimAttachmentEnrollmentTimeframe","EmployerIdentificationNumbers","CoverageTypes","OperatingStates","PtanRequired","ParentPayerGroupId","WebsiteUrl"
"ABHDB","CHPWA","Community Health Plan of Washington","CHPW","10329|1927|3445|CHPWA|CHPWAMA|SB613|WACHP","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","dental|medical","WA","false","","https://www.chpw.org"
"ABZYT","HCHHP","Healthcare Highways Health Plan","HCH Health Plan|Healthcare Highways","1280|3087|6526|8713|HCH01|HCHHP|PEVTQ","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","","https://www.healthcarehighways.com"
"ACFNZ","GNMMD1","Blue Cross Community Centennial","","1243|14296|4570|GNMMD1|MC721","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"ACIRL","11003","Medicare Virginia Part A","Medicare West Virginia Part A|Palmetto GBA (PGBA) - Virginia","11003|IMVA0|IMWV0","true","true","ONE_CLICK","HOURS","false","false","","","false","false","","","true","true","","","false","false","","","true","true","MULTI_STEP","","false","false","","","false","false","","","","medical","","false","",""
"ACTZY","22189","Delta Dental of New Jersey","Delta Dental of Connecticut","00372|10719|10727|22189","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","true","true","ONE_CLICK","DAYS","false","false","","","false","false","","","","dental","","false","AKHYL",""
"ACYZY","34171","FrontPath Health Coalition","FrontPath Coalition","1966|2299|34171","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","","https://frontpathcoalition.com"
"ADLVJ","WCHGF","Washington General Fund","","WCHGF","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","","","false","",""
"ADNKL","54154","Sentara Health Plans","Optima Health Behavioral Health|Optima Health Community Care|Sentara Behavioral Health Services|Sentara Health Administration|Sentara Health Insurance Company|Sentara Health Management","00453|10477|1285|54154|54154MA|5415M|7499|OPTSNT|ULACG|VACMS|YEXEB","true","false","","","true","false","","","true","true","","","true","true","","","false","false","","","true","true","MULTI_STEP","HOURS","false","false","","","false","false","","","","dental|medical","","false","FKWIM","https://www.sentarahealthplans.com"
"ADQVY","R3478","Chinatown Service Centre","","R3478","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"ADQWR","89425","Edison Revolution","","89425","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"ADTWS","10122","MAMSI Health Plan","Mid-Atlantic Medical Services, Inc. Health Plan","10122|MAMSI","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","","","false","",""
"ADUBW","CWSTL","Carpenters Benefit Plan","Carpenters Health And Welfare Trust Funds|Carpenters Health and Welfare Trust Fund of St Louis","11161|8846|CARHLT|CWSTL|TLW06","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","","","false","",""
"ADZAT","J1046","Coworx Staffing LLC","CoWorx Staffing LLC","J1046","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"AEAEN","TP019","Berkley Specialty Underwriters","","TP019","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"AEKJM","57080","ClaimsWare Incorporated (ManageMed)","CWI Benefits, Inc.","57080","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"AEXVB","J4258","Charles Taylor","","J4258","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","","","false","",""
"AFBPR","J1457","CVS Caremark Minute Clinic","","J1457","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","",""
"AFCLF","AFLAC","AFLAC","AFLAC Dental|Aflac","10398|3056|8428|ABS01|AFGRP|AFLAC","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","dental","","false","",""
"AFLEJ","81400","All Savers","All Savers Alternate Funding|All Savers Insurance|All Savers Life Insurance Company|American Medical Security|PacifiCare Health|UnitedHealthOne|UnitedHealthOne PacifiCare Life and Health|UnitedHealthOne UnitedHealthcare Life Insurance Company|UnitedHealthcare All Savers Insurance|UnitedHealthcare Life Insurance Company","10829|11027|1941|7481|81400|ALLSA|AMMEDS","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","dental|medical","","false","FIVMG",""
"AFOQD","35164","Sagamore Health Network","","35164|6464","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"AFQTI","SB806","Excellus Blue Cross Blue Shield New York Utica Watertown","Excellus BCBS New York Utica Watertown","00806|10470|806|SB806","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","MULTI_STEP","","false","false","","","false","false","","","","dental|medical","","false","",""
"AFUCO","AC101","AllCare Independent Practice Association","AllCare IPA","7247|AC101","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","OR","false","",""
"AFYZL","51020","Integra Administrative Group","","11054|51020|6651|6754|INTAG","true","false","","","true","false","","","true","false","","","true","false","","","true","false","","","true","true","","","false","false","","","false","false","","","","dental|medical","","false","","https://integratpa.com"
"AGBDX","00230","Blue Cross Blue Shield Mississippi","BCBS Mississippi","00230|100041|10040|2415|BCMS|CBMS1|MSBCBS|MSBLS|SB730|SB732|TBS03","true","false","","","true","false","","","true","true","","","true","true","","","true","true","","","true","true","ONE_CLICK","WEEKS","false","false","","","false","false","","","","dental|medical|vision","","false","JCSKZ",""
"AGCUT","MV440","Sendero Health Plans","MediView Sendero IdealCare|Sendero","8104|MV440","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","ONE_CLICK","","false","false","","","false","false","","","","medical","","false","","https://senderohealth.com"
"AGDGS","NMM04","AlphaCare Medical Group","","3000|8247|ACMG1|NMM04","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"AGIGZ","92645","Auxiant","AuxiantHealth|Midwest Health Partners|Valenz Health|WPS|Wisconsin Physicians Service Insurance Corporation","4092|8833|92645","true","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","","https://www.auxiant.com"
"AGIPK","47076","Regional Care Incorporated","","15537|2967|3266|47076","true","true","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"AGKBN","52876","Share HealthCare","","52876","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"AGLFM","MMFCS","MemorialCare Medical Foundation (Cap Services)","","MMFCS","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","",""
"AGUZB","20805","Marrick Mement Finance","","20805|3555|6434","false","false","","","false","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","","","false","",""
"AHBZT","NCHINS","Evolent Specialty Institutional","","NCHINS","false","false","","","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"AHFDN","77149","B Smart Health Solutions","BENEFITSMART","1848|77149","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","medical","","false","",""
"AHILO","38308","Christian Brothers Services","","10908|38308|4674|6202|CBSAB|CBSER","true","false","","","false","false","","","true","false","","","true","false","","","true","false","","","true","true","MULTI_STEP","HOURS","false","false","","","false","false","","","","dental|medical|vision","","false","",""
"AIADA","30506","Electric Welfare Trust Fund","","30506|9173","false","false","","","false","false","","","true","false","","","false","false","","","false","false","","","false","false","","","false","false","","","false","false","","","","dental|medical","","false","",""
"AIDIP","66701","Group Marketing Services","","66701|8253","false","false","","","false","false","","","true","false","","","true","false","","","true","false","","","true","true","MULTI_STEP","","false","false","","","false","false","","","","dental|medical","","false","",""
"AIKIN","10514","Harmony Health Plan","","10514|36406|HARHP14163|HARM1","true","false","","","true","false","","","true","false","","","true","false","","","false","false","","","true","true","","","false","false","","","false","false","","","","medical","","false","RZIUK",""
